GexfID,Title,IMDB_id,ReleaseDate,Transitivity,Genre,Slug,WeightedDegree,Modularity,PathLength,Diameter,ClusteringCoefficient,ConnectedComponents,Density,Edges,Characters
42,Aliens,tt0090605,1986,0.754633716,['Action'. 'Adventure'. 'Sci-Fi'],Aliens,18867.00,0.23,1791.00,3000.00,0.70,5000.00,0.25,401.00,28.00
43,All About Eve,tt0042192,1950,0.679746835,['Drama'],All-About-Eve,16500.00,0.08,1567.00,3000.00,0.81,2000.00,0.42,234.00,20.00
44,All About Steve,tt0881891,2009,0.332746479,['Comedy'. 'Romance'],All-About-Steve,6207.00,0.38,2237.00,5000.00,0.53,13000.00,0.07,229.00,56.00
45,All the King's Men,tt0041113,1949,0.437919463,['Drama'. 'Film-Noir'],All-the-King's-Men,11591.00,0.31,1945.00,3000.00,0.75,3000.00,0.16,303.00,39.00
47,Almost Famous,tt0181875,2000,0.468412439,['Adventure'. 'Comedy'. 'Drama'],Almost-Famous,13345.00,0.34,2028.00,4000.00,0.73,3000.00,0.14,462.00,53.00
48,Alone in the Dark,tt0369226,2005,0.537477148,['Action'. 'Horror'. 'Sci-Fi'],Alone-in-the-Dark,8552.00,0.27,2211.00,4000.00,0.56,3000.00,0.18,152.00,26.00
49,Amadeus,tt0086879,1984,0.575074184,['Biography'. 'Drama'. 'Music'],Amadeus,11020.00,0.42,2265.00,5000.00,0.80,2000.00,0.15,290.00,44.00
50,Amelia,tt0211915,2001,0.2375,['Comedy'. 'Romance'],Amelia,8375.00,0.34,2044.00,4000.00,0.68,4000.00,0.11,111.00,28.00
51,American Beauty,tt0169547,1999,0.354098361,['Drama'],American-Beauty,9304.00,0.28,1957.00,3000.00,0.56,2000.00,0.18,144.00,23.00
52,American Gangster,tt0765429,2007,0.234303216,['Biography'. 'Crime'. 'Drama'],American-Gangster,5031.00,0.42,2385.00,4000.00,0.46,6000.00,0.06,176.00,56.00
54,American History X,tt0120586,1998,0.447418738,['Crime'. 'Drama'],American-History-X,10146.00,0.36,2381.00,5000.00,0.64,2000.00,0.14,268.00,40.00
57,American Pie,tt0163651,1999,0.47740113,['Comedy'],American-Pie,10810.00,0.30,1988.00,3000.00,0.60,7000.00,0.13,284.00,39.00
58,The American President,tt0112346,1995,0.391237901,['Comedy'. 'Drama'. 'Romance'],The-American-President,9649.00,0.35,2143.00,4000.00,0.70,7000.00,0.11,324.00,56.00
59,American Psycho,tt0144084,2000,0.331360947,['Crime'. 'Drama'. 'Horror'],American-Psycho,5714.00,0.31,1818.00,2000.00,0.70,3000.00,0.16,99.00,27.00
60,American Shaolin,tt0101327,1991,0.368522073,['Action'],American-Shaolin,7588.00,0.42,2182.00,3000.00,0.64,2000.00,0.13,156.00,32.00
61,American Splendor,tt0305206,2003,0.278669725,['Biography'. 'Comedy'. 'Drama'],American-Splendor,7435.00,0.37,1915.00,3000.00,0.70,6000.00,0.09,162.00,36.00
62,An American Werewolf in London,tt0082010,1981,0.46031746,['Comedy'. 'Horror'],An-American-Werewolf-in-London,6462.00,0.35,2054.00,4000.00,0.52,7000.00,0.12,139.00,37.00
63,An Education,tt1174732,2009,0.506622517,['Drama'],An-Education,15800.00,0.27,1791.00,3000.00,0.60,3000.00,0.24,227.00,20.00
64,Analyze That,tt0289848,2002,0.369469027,['Comedy'. 'Crime'],Analyze-That,7837.00,0.40,2277.00,5000.00,0.65,3000.00,0.11,242.00,48.00
65,Analyze This,tt0122933,1999,0.414935065,['Comedy'. 'Crime'],Analyze-This,10143.00,0.28,2000.00,4000.00,0.62,4000.00,0.15,263.00,39.00
66,Anastasia,tt0118617,1997,0.505543237,['Animation'. 'Adventure'. 'Drama'],Anastasia,9875.00,0.34,1952.00,3000.00,0.82,1000.00,0.21,155.00,27.00
67,Angel Eyes,tt0225071,2001,0.332917706,['Drama'. 'Romance'],Angel-Eyes,7706.00,0.36,1929.00,3000.00,0.79,1000.00,0.16,158.00,33.00
68,Angels & Demons,tt0808151,2009,0.441666667,['Action'. 'Mystery'. 'Thriller'],Angels-&-Demons,8129.00,0.37,2307.00,5000.00,0.59,4000.00,0.13,155.00,25.00
69,Annie Hall,tt0075686,1977,0.381739756,['Comedy'. 'Romance'],Annie-Hall,8179.00,0.40,1863.00,2000.00,0.83,4000.00,0.12,254.00,54.00
70,The Anniversary Party,tt0254099,2001,0.789008832,['Comedy'. 'Drama'. 'Romance'],The-Anniversary-Party,22690.00,0.11,1552.00,3000.00,0.85,1000.00,0.47,412.00,27.00
71,Antitrust,tt0218817,2001,0.328244275,['Action'. 'Crime'. 'Drama'],Antitrust,8125.00,0.37,2157.00,5000.00,0.66,4000.00,0.11,240.00,46.00
72,Antz,tt0120587,1998,0.546649969,['Animation'. 'Adventure'. 'Comedy'],Antz,9700.00,0.30,1996.00,4000.00,0.68,3000.00,0.19,204.00,39.00
73,The Apartment,tt0053604,1960,0.292682927,['Comedy'. 'Drama'. 'Romance'],The-Apartment,7818.00,0.27,2045.00,4000.00,0.61,1000.00,0.14,151.00,31.00
74,Apocalypse Now,tt0078788,1979,0.510656682,['Drama'. 'Mystery'. 'War'],Apocalypse-Now,15409.00,0.22,1753.00,3000.00,0.82,2000.00,0.25,344.00,39.00
76,Apt Pupil,tt0118636,1998,0.472972973,['Crime'. 'Drama'. 'Thriller'],Apt-Pupil,8750.00,0.21,1819.00,3000.00,0.58,4000.00,0.20,146.00,23.00
80,Army of Darkness,tt0106308,1992,0.54973822,['Comedy'. 'Horror'],Army-of-Darkness,6154.00,0.27,1810.00,3000.00,0.66,4000.00,0.21,85.00,24.00
81,As Good as It Gets,tt0119822,1997,0.327956989,['Comedy'. 'Drama'. 'Romance'],As-Good-as-It-Gets,6971.00,0.47,2220.00,3000.00,0.66,1000.00,0.12,160.00,35.00
82,Assassins,tt0112401,1995,0.365853659,['Action'. 'Crime'. 'Thriller'],Assassins,4947.00,0.41,2287.00,4000.00,0.32,3000.00,0.14,60.00,17.00
83,The Assignment,tt0118647,1997,0.410847458,['Action'. 'Crime'. 'Thriller'],The-Assignment,6885.00,0.40,2508.00,5000.00,0.49,6000.00,0.08,137.00,42.00
84,At First Sight,tt0132512,1999,0.367262724,['Drama'. 'Romance'],At-First-Sight,8533.00,0.23,1803.00,3000.00,0.72,4000.00,0.17,159.00,27.00
85,Austin Powers: International Man of Mystery,tt0118655,1997,0.301075269,['Adventure'. 'Comedy'],Austin-Powers:-International-Man-of-Mystery,6192.00,0.44,2070.00,4000.00,0.74,6000.00,0.09,167.00,45.00
86,Austin Powers: The Spy Who Shagged Me,tt0145660,1999,0.401427297,['Action'. 'Adventure'. 'Comedy'],Austin-Powers:-The-Spy-Who-Shagged-Me,5175.00,0.50,2151.00,4000.00,0.53,15000.00,0.06,174.00,56.00
87,Autumn in New York,tt0174480,2000,0.354107649,['Drama'. 'Romance'],Autumn-in-New-York,9486.00,0.32,1881.00,3000.00,0.77,1000.00,0.17,204.00,32.00
88,Avatar,tt0499549,2009,0.500927644,['Action'. 'Adventure'. 'Fantasy'],Avatar,15125.00,0.26,1897.00,3000.00,0.78,2000.00,0.22,310.00,29.00
89,The Avengers,tt0054518,1961,0.341269841,['Action'. 'Comedy'. 'Crime'],The-Avengers,8583.00,0.22,1771.00,2000.00,0.62,4000.00,0.17,147.00,23.00
91,Awakenings,tt0099077,1990,0.649849721,['Biography'. 'Drama'],Awakenings,12364.00,0.27,1905.00,3000.00,0.75,3000.00,0.18,382.00,50.00
92,Babel,tt0449467,2006,0.374245473,['Drama'],Babel,6486.00,0.69,3941.00,9000.00,0.67,2000.00,0.06,301.00,73.00
93,Bachelor Party,tt0086927,1984,0.413884007,['Comedy'],Bachelor-Party,12957.00,0.33,2011.00,4000.00,0.77,5000.00,0.13,374.00,46.00
97,Backdraft,tt0101393,1991,0.644599303,['Action'. 'Drama'. 'Mystery'],Backdraft,14537.00,0.20,1969.00,4000.00,0.70,2000.00,0.21,341.00,36.00
98,Bad Boys,tt0112442,1995,0.275449102,['Action'. 'Comedy'. 'Crime'],Bad-Boys,9250.00,0.30,2121.00,3000.00,0.71,3000.00,0.12,257.00,40.00
99,Bad Day at Black Rock,tt0047849,1955,0.697127937,['Crime'. 'Drama'. 'Mystery'],Bad-Day-at-Black-Rock,12778.00,0.08,1557.00,3000.00,0.65,3000.00,0.33,142.00,14.00
100,The Bad Lieutenant: Port of Call - New Orleans,tt1095217,2009,0.280089989,['Crime'. 'Drama'],The-Bad-Lieutenant:-Port-of-Call---New-Orleans,4091.00,0.48,1930.00,3000.00,0.71,6000.00,0.09,87.00,37.00
101,Bad Santa,tt0307987,2003,0.339181287,['Comedy'. 'Crime'. 'Drama'],Bad-Santa,5368.00,0.32,1964.00,3000.00,0.56,7000.00,0.10,120.00,33.00
102,Badlands,tt0069762,1973,0.222222222,['Action'. 'Crime'. 'Drama'],Badlands,6526.00,0.27,1889.00,3000.00,0.61,2000.00,0.16,69.00,16.00
103,Bamboozled,tt0215545,2000,0.470588235,['Comedy'. 'Drama'. 'Music'],Bamboozled,10852.00,0.45,2114.00,3000.00,0.66,4000.00,0.11,289.00,56.00
104,Barry Lyndon,tt0072684,1975,0.197007481,['Adventure'. 'Drama'. 'War'],Barry-Lyndon,5755.00,0.45,1981.00,3000.00,0.61,3000.00,0.08,159.00,47.00
106,Basic,tt0264395,2003,0.535496957,['Action'. 'Crime'. 'Drama'],Basic,16545.00,0.25,1922.00,4000.00,0.72,1000.00,0.28,250.00,18.00
107,Basic Instinct,tt0103772,1992,0.472355769,['Drama'. 'Mystery'. 'Thriller'],Basic-Instinct,13680.00,0.19,1720.00,2000.00,0.80,1000.00,0.28,236.00,24.00
108,Basquiat,tt0115632,1996,0.624300039,['Biography'. 'Drama'],Basquiat,14426.00,0.28,1793.00,2000.00,0.79,2000.00,0.20,478.00,58.00
109,Batman,tt0096895,1989,0.364826941,['Action'. 'Adventure'],Batman,5574.00,0.45,2464.00,5000.00,0.59,10000.00,0.07,194.00,58.00
110,Batman Returns,tt0103776,1992,0.469465649,['Action'. 'Crime'. 'Fantasy'],Batman-Returns,6133.00,0.59,2969.00,7000.00,0.71,5000.00,0.08,190.00,54.00
111,The Battle of Algiers,tt0058946,1966,0.45,['Drama'. 'War'],The-Battle-of-Algiers,3962.00,0.58,2948.00,7000.00,0.50,9000.00,0.07,93.00,48.00
112,The Battle of Shaker Heights,tt0357470,2003,0.300802139,['Comedy'. 'Drama'. 'Romance'],The-Battle-of-Shaker-Heights,8059.00,0.31,2039.00,4000.00,0.74,1000.00,0.15,166.00,32.00
113,The Beach,tt0163978,2000,0.415645617,['Adventure'. 'Drama'. 'Romance'],The-Beach,8811.00,0.41,1863.00,3000.00,0.75,1000.00,0.17,182.00,35.00
114,Bean,tt0118689,1997,0.491103203,['Adventure'. 'Comedy'. 'Family'],Bean,9158.00,0.42,2879.00,8000.00,0.54,7000.00,0.12,213.00,37.00
115,Beavis and Butt-Head Do America,tt0115641,1996,0.279035433,['Animation'. 'Adventure'. 'Comedy'],Beavis-and-Butt-Head-Do-America,7180.00,0.42,2276.00,4000.00,0.74,6000.00,0.08,263.00,57.00
116,Being Human,tt1349938,2008,0.326519337,['Comedy'. 'Drama'. 'Fantasy'],Being-Human,6455.00,0.53,2222.00,5000.00,0.68,5000.00,0.07,250.00,65.00
117,Being John Malkovich,tt0120601,1999,0.351156069,['Comedy'. 'Drama'. 'Fantasy'],Being-John-Malkovich,7238.00,0.36,2151.00,3000.00,0.70,5000.00,0.10,189.00,38.00
118,Being There,tt0078841,1979,0.241194487,['Comedy'. 'Drama'],Being-There,7451.00,0.39,2167.00,4000.00,0.70,2000.00,0.09,223.00,51.00
119,The Believer,tt0247199,2001,0.319080706,['Drama'],The-Believer,8679.00,0.36,2002.00,5000.00,0.67,5000.00,0.11,232.00,46.00
120,Beloved,tt0120603,1998,0.361445783,['Drama'. 'History'. 'Horror'],Beloved,6050.00,0.48,2264.00,4000.00,0.48,6000.00,0.09,148.00,37.00
122,Big,tt0094737,1988,0.530769231,['Comedy'. 'Drama'. 'Fantasy'],Big,12824.00,0.18,1775.00,3000.00,0.65,2000.00,0.30,160.00,17.00
123,Bear in the Big Blue House,tt0173664,1997,0.480620155,['Comedy'. 'Drama'. 'Family'],Bear-in-the-Big-Blue-House,10194.00,0.25,1952.00,3000.00,0.65,4000.00,0.18,213.00,30.00
124,Big Fish,tt0319061,2003,0.278350515,['Adventure'. 'Drama'. 'Fantasy'],Big-Fish,6698.00,0.45,2166.00,3000.00,0.75,2000.00,0.10,174.00,38.00
125,The Big Lebowski,tt0118715,1998,0.246067416,['Comedy'. 'Crime'],The-Big-Lebowski,8419.00,0.38,1918.00,3000.00,0.65,2000.00,0.11,198.00,37.00
126,The Big White,tt0402850,2005,0.349315068,['Comedy'. 'Crime'. 'Drama'],The-Big-White,7813.00,0.36,2217.00,4000.00,0.60,4000.00,0.13,171.00,32.00
127,The Birds,tt0056869,1963,0.756802721,['Drama'. 'Horror'. 'Mystery'],The-Birds,16444.00,0.26,1573.00,2000.00,0.89,1000.00,0.43,211.00,26.00
128,Birthday Girl,tt0188453,2001,0.23255814,['Comedy'. 'Crime'. 'Thriller'],Birthday-Girl,4100.00,0.30,1860.00,3000.00,0.45,4000.00,0.13,59.00,19.00
129,The Black Dahlia,tt0387877,2006,0.200451467,['Crime'. 'Drama'. 'Mystery'],The-Black-Dahlia,7281.00,0.36,2048.00,4000.00,0.60,4000.00,0.07,300.00,63.00
130,Black Rain,tt0096933,1989,0.340460526,['Action'. 'Crime'. 'Thriller'],Black-Rain,8966.00,0.28,1854.00,3000.00,0.71,2000.00,0.18,161.00,27.00
131,Black Snake Moan,tt0462200,2006,0.306818182,['Drama'. 'Music'],Black-Snake-Moan,6000.00,0.41,2146.00,3000.00,0.68,2000.00,0.12,119.00,32.00
132,Blade,tt0120611,1998,0.369668246,['Action'. 'Horror'. 'Sci-Fi'],Blade,6897.00,0.28,1953.00,4000.00,0.60,4000.00,0.14,137.00,29.00
133,Blade II,tt0187738,2002,0.593276203,['Action'. 'Horror'. 'Sci-Fi'],Blade-II,14000.00,0.17,1996.00,5000.00,0.66,2000.00,0.22,239.00,21.00
134,Blade Runner,tt0083658,1982,0.326086957,['Action'. 'Drama'. 'Sci-Fi'],Blade-Runner,5231.00,0.44,2458.00,4000.00,0.52,1000.00,0.14,79.00,25.00
135,Blade: Trinity,tt0359013,2004,0.414686825,['Action'. 'Horror'. 'Sci-Fi'],Blade:-Trinity,6824.00,0.44,2502.00,5000.00,0.57,7000.00,0.10,164.00,36.00
136,Blast from the Past,tt0124298,1999,0.423597679,['Comedy'. 'Drama'. 'Romance'],Blast-from-the-Past,8125.00,0.51,2368.00,4000.00,0.61,3000.00,0.11,256.00,48.00
137,Blood Simple.,tt0086979,1984,0.592105263,['Crime'. 'Drama'. 'Thriller'],Blood-Simple.,5375.00,0.31,1985.00,3000.00,0.42,5000.00,0.18,59.00,15.00
